categorea,categorie_info,name,kg,price
Schwarze Tees,Kräftig oder spritzig,Aktion Nepal FTGFOP First Flush BIO (1 Kg),1000 g,"39,90 €*"
Schwarze Tees,Kräftig oder spritzig,Aktion Nepal FTGFOP First Flush Bio (250g),250 g,"10,50 €*"
Schwarze Tees,Kräftig oder spritzig,Assam CTC BOP1 Jamguri Second Flush BIO,100 g,"4,50 €*"
Schwarze Tees,Kräftig oder spritzig,Assam FOP Second Flush,100 g,"4,60 €*"
Schwarze Tees,Kräftig oder spritzig,Assam FTGFOP1 Dikom Second Flush,100 g,"8,70 €*"
Schwarze Tees,Kräftig oder spritzig,Assam GFBOP Kaziranga Second Flush BIO,250 g,"14,70 €*"
Schwarze Tees,Kräftig oder spritzig,Assam SFTGBOP Tonga Second Flush BIO,100 g,"10,70 €*"
Schwarze Tees,Kräftig oder spritzig,Assam SFTGFOP1 Mokalbari Second Flush,100 g,"12,20 €*"
Schwarze Tees,Kräftig oder spritzig,Assam SFTGFOP1 Sonara Second Flush,100 g,"14,50 €*"
Schwarze Tees,Kräftig oder spritzig,Assam STGBOP Hattfield Second Flush,100 g,"9,00 €*"
Schwarze Tees,Kräftig oder spritzig,Assam TGBOP Brahmaputra Malty Second Flush,100 g,"6,30 €*"
Schwarze Tees,Kräftig oder spritzig,Assam TGFOP1 Ananda Second Flush BIO,100 g,"6,80 €*"
Schwarze Tees,Kräftig oder spritzig,Assam Tonga Bio (MasterBag Glas Pyramid),Packung (15 Bags),"6,95 €*"
Schwarze Tees,Kräftig oder spritzig,Ceylon Nr. 21 OP Nuwara Eliya highgrown,100 g,"4,90 €*"
Schwarze Tees,Kräftig oder spritzig,"Ceylon OP ""Decaf""",100 g,"8,50 €*"
Schwarze Tees,Kräftig oder spritzig,Ceylon OP Gampola BIO/NL,100 g,"7,50 €*"
Schwarze Tees,Kräftig oder spritzig,Ceylon OP Uva Badulla highgrown,100 g,"6,60 €*"
Schwarze Tees,Kräftig oder spritzig,Ceylon Pekoe Uva Highlands highgrown,100 g,"7,50 €*"
Schwarze Tees,Kräftig oder spritzig,China Dian Hong Spring,1l-Probe,"10,80 €*"
Schwarze Tees,Kräftig oder spritzig,China Golden Yunnan BIO,100 g,"7,40 €*"
Schwarze Tees,Kräftig oder spritzig,China Keemun Finest Chuen Ch'a BIO/NL,100 g,"7,80 €*"
Schwarze Tees,Kräftig oder spritzig,China Lapsang Souchong BIO,100 g,"7,40 €*"
Schwarze Tees,Kräftig oder spritzig,China Mannong Pu Erh BIO,100 g,"9,60 €*"
Schwarze Tees,Kräftig oder spritzig,China Yunnan Golden Downy Pekoe BIO,100 g,"12,80 €*"
Grüne Tees,Sencha oder Jasmin,China Chun Mee BIO/NL,100 g,"5,40 €*"
Grüne Tees,Sencha oder Jasmin,China Gunpowder BIO/NL,100 g,"4,90 €*"
Grüne Tees,Sencha oder Jasmin,China Gunpowder Temple of Heaven Bio,100 g,"5,90 €*"
Grüne Tees,Sencha oder Jasmin,China Lung Ching BIO/NL,100 g,"12,90 €*"
Grüne Tees,Sencha oder Jasmin,China Mao Feng BIO/NL,100 g,"10,90 €*"
Grüne Tees,Sencha oder Jasmin,China Wild Pi Lo Chun Bio,100 g,"11,80 €*"
Grüne Tees,Sencha oder Jasmin,China Wuyuan Jasmin BIO/NL,100 g,"9,80 €*"
Grüne Tees,Sencha oder Jasmin,China Wuyuan Jasmin Bio/NL  (MasterBag Glas Pyramid),Packung (15 Bags),"6,95 €*"
Grüne Tees,Sencha oder Jasmin,China Yellow Dragon BIO,100 g,"9,80 €*"
Grüne Tees,Sencha oder Jasmin,Darjeeling GFTGFOP1 Green Elephant BIO/Naturland,100 g,"7,90 €*"
Grüne Tees,Sencha oder Jasmin,Green Manjolai BIO,250 g,"11,70 €*"
Grüne Tees,Sencha oder Jasmin,Green Manjolai Bio (MasterBag Glas Pyramid),Packung (15 Bags),"6,95 €*"
Grüne Tees,Sencha oder Jasmin,Grüntee-Einsteigerset,Set,"19,80 €*"
Grüne Tees,Sencha oder Jasmin,Japan Bancha Bio,100 g,"6,40 €*"
Grüne Tees,Sencha oder Jasmin,Japan Genmaicha Bio,100 g,"8,20 €*"
Grüne Tees,Sencha oder Jasmin,Japan Gyokuro Bio,100 g,"29,80 €*"
Grüne Tees,Sencha oder Jasmin,Japan Gyokuro Kukicha Bio,100 g,"18,90 €*"
Grüne Tees,Sencha oder Jasmin,Japan Kabuse-cha (Halbschatten) Bio,100 g,"19,70 €*"
Grüne Tees,Sencha oder Jasmin,Japan Kamairicha BIO,100 g,"17,80 €*"
Grüne Tees,Sencha oder Jasmin,Japan Kukicha Extra BIO,100 g,"13,40 €*"
Grüne Tees,Sencha oder Jasmin,Japan Sencha Bio,100 g,"8,40 €*"
Grüne Tees,Sencha oder Jasmin,Japan Sencha Bio (MasterBag Glas Pyramid),Packung (15 Bags),"6,95 €*"
Grüne Tees,Sencha oder Jasmin,Japan Sencha Extra Fine Bio,100 g,"13,90 €*"
Grüne Tees,Sencha oder Jasmin,Japan Shincha Shimoyama First Flush Bio,100 g,"34,90 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Ananas-Mango,100 g,"4,90 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Arabische Nacht®,100 g,"6,00 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Black Currant,100 g,"4,90 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Blaubeere,100 g,"8,30 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Blutorange Bio,100 g,"5,10 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Caipirinha,100 g,"5,50 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Caramel,100 g,"4,90 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",China Royal Jasmine Curls,100 g,"17,50 €*"
Aroma-Edition,"Earl Grey, Marani & Co.",Crème d'Orange,100 g,"5,40 €*"
